   4.76274387439587        44.6673544805569     	0. 638500_4948500
   4.76119443752523        44.7090593568182     	0. 638500_4951500
   4.74272616344384        44.7271673544586     	0. 638500_4954500
   4.74950015451797        44.7574915001510     	0. 638500_4957500
   4.76237332448274        44.7786288548969     	0. 638500_4960500
   4.75600075775465        44.8089744945416     	0. 638500_4963500
   4.75779142000405        45.1085328448351     	0. 638500_4996500
   4.75964435580361        45.1361396615353     	0. 638500_4999500
   4.76047534853849        45.1631319709039     	0. 638500_5002500
   4.76362928065829        45.1894581848364     	0. 638500_5005500
   4.76438189068554        45.2154522687519     	0. 638500_5008500
   4.76589767549387        45.2500039329917     	0. 638500_5011500
   4.76496092053329        45.2646009318821     	0. 638500_5014500
   4.76809171576411        45.3079397763289     	0. 638500_5017500
   4.76696808043478        45.3222695068550     	0. 638500_5020500
   4.76208885558426        45.3492592132556     	0. 638500_5023500
   4.76666787204165        45.3790731033951     	0. 638500_5026500
   4.77610530450855        44.3310789328505     	0. 641500_4909500
   4.77365557797170        44.3442611979786     	0. 641500_4912500
   4.77503854856032        44.3792607358867     	0. 641500_4915500
   4.77870873485988        44.4162950896118     	0. 641500_4918500
   4.77139133156044        44.4293727971392     	0. 641500_4921500
   4.76359253207655        44.4662245833989     	0. 641500_4924500
   4.77040305023381        44.4856549874571     	0. 641500_4927500
   4.78376419098365        44.5118247681747     	0. 641500_4930500
   4.77877741005905        44.5455722715547     	0. 641500_4933500
   4.77846656513377        44.5692538317553     	0. 641500_4936500
   4.79542283471320        44.5943755558788     	0. 641500_4939500
   4.78963392823700        44.6237244992340     	0. 641500_4942500
   4.78784626823774        44.6476089766670     	0. 641500_4945500
   4.78830046477905        44.6755093181116     	0. 641500_4948500
   4.78939399034236        44.7015990464389     	0. 641500_4951500
   4.79068627974297        44.7287658156921     	0. 641500_4954500
   4.79133185777995        44.7562126695824     	0. 641500_4957500
   4.79176391055589        44.7881638647192     	0. 641500_4960500
   4.79229483903598        44.8102109403803     	0. 641500_4963500
   4.80456084147763        44.8280220803201     	0. 641500_4966500
   4.79009954337930        44.8647084092234     	0. 641500_4969500
   4.79370510143603        45.0005822788062     	0. 641500_4984500
   4.79814866362630        45.0282382329603     	0. 641500_4987500
   4.79462450015988        45.0657413951998     	0. 641500_4990500
   4.81182764040532        45.0767219593727     	0. 641500_4993500
   4.80838736608773        45.1106232232445     	0. 641500_4996500
   4.80874846661655        45.1349222167586     	0. 641500_4999500
   4.81150652569454        45.1637739719137     	0. 641500_5002500
   4.80780823895518        45.1872369338783     	0. 641500_5005500
   4.80890995611787        45.2155746302767     	0. 641500_5008500
   4.80763580405239        45.2436797813862     	0. 641500_5011500
   4.80843621603750        45.2713018763506     	0. 641500_5014500
   4.81051880062137        45.2962930869733     	0. 641500_5017500
   4.80865195049381        45.3226069946257     	0. 641500_5020500
   4.80138237878268        45.3492761676375     	0. 641500_5023500
   4.80141976114629        45.3769998981054     	0. 641500_5026500
   4.81708169718961        44.5155306320060     	0. 644500_4930500
   4.81646054222385        44.5420981619662     	0. 644500_4933500
   4.81212877716711        44.5663838705134     	0. 644500_4936500
   4.81905018802512        44.5949018154075     	0. 644500_4939500
   4.81870343893938        44.6108417401597     	0. 644500_4942500
   4.81267308748312        44.6491080199565     	0. 644500_4945500
   4.81378933249636        44.6760074732405     	0. 644500_4948500
   4.81327826645343        44.7057233836004     	0. 644500_4951500
   4.80797303398427        44.7315541599454     	0. 644500_4954500
   4.82559926380222        44.7571102302626     	0. 644500_4957500
   4.82817182810293        44.7821853381257     	0. 644500_4960500
   4.83920212449189        44.8015429867308     	0. 644500_4963500
   4.81610805640148        44.8388216123924     	0. 644500_4966500
   4.83694578140474        44.8610835933052     	0. 644500_4969500
   4.84589595790627        44.8829043637126     	0. 644500_4972500
   4.83441387940360        44.9208080652521     	0. 644500_4975500
   4.83741357441243        44.9433548904369     	0. 644500_4978500
   4.84900656065697        44.9716139827885     	0. 644500_4981500
   4.84066947183829        45.0023552958996     	0. 644500_4984500
   4.83302592232141        45.0232726680645     	0. 644500_4987500
   4.83629718154718        45.0549066648030     	0. 644500_4990500
   4.83285854660140        45.0756661244628     	0. 644500_4993500
   4.82613793417667        45.1055697493026     	0. 644500_4996500
   4.82206747587241        45.1354305730840     	0. 644500_4999500
   4.82681868779089        45.1635299955857     	0. 644500_5002500
   4.84335262046490        45.1794672638992     	0. 644500_5005500
   4.85496485103549        45.2234772167170     	0. 644500_5008500
   4.84068371849761        45.2423416385579     	0. 644500_5011500
   4.83646665409309        45.2692341871006     	0. 644500_5014500
   4.82974029218828        45.2876152742374     	0. 644500_5017500
   4.84058912749218        45.3241669655359     	0. 644500_5020500
   4.84938861214265        45.3385171121017     	0. 644500_5023500
   4.84113581622001        45.3764564201776     	0. 644500_5026500
   4.86705227604356        44.7339341478296     	0. 647500_4954500
   4.86304756720108        44.7586658156874     	0. 647500_4957500
   4.84955818321920        44.7845415429025     	0. 647500_4960500
   4.85518662510937        44.8102865573456     	0. 647500_4963500
